manuscript_section,page_or_location,table_or_figure,claim_or_metric,displayed_value,source_file,source_row,source_full_precision,rounding,generating_script,canonical_lineage,PASS_FAIL
Results,Table 2,Table 2,MAE,0.000499,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2023; target_year=2025,0.0004990877590444,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,0.000035,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2023; target_year=2025,3.539408937355919e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.3359216039213991,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2023; target_year=2025,0.3359216039213991,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.6796639317879669,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2023; target_year=2025,0.6796639317879669,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.001512,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2024; target_year=2025,0.0015115023429366,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.000476,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2024; target_year=2025,0.0004756763433514,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.000062,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2024; target_year=2025,-6.218584233705868e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.2356423707434934,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2024; target_year=2025,0.2356423707434934,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.6575709350028794,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2024; target_year=2025,0.6575709350028794,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.001407,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2022_2023; target_year=2025,0.0014073432227546,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.000518,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2022_2023; target_year=2025,0.0005183907871877,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,0.000062,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2022_2023; target_year=2025,6.230365546306616e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.3373579263000901,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2022_2023; target_year=2025,0.3373579263000901,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.6722940262195224,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2022_2023; target_year=2025,0.6722940262195224,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.001461,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2023_2024; target_year=2025,0.0014605660351389,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.000486,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2023_2024; target_year=2025,0.0004862206811799,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.000017,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2023_2024; target_year=2025,-1.6969499692965838e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.2862907104643526,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2023_2024; target_year=2025,0.2862907104643526,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.6699813784261468,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2023_2024; target_year=2025,0.6699813784261468,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.001444,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2022_2024; target_year=2025,0.0014436509254424,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.000500,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2022_2024; target_year=2025,0.0004999696919478,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,0.000012,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2022_2024; target_year=2025,1.1816095187176434e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.3027262070806158,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2022_2024; target_year=2025,0.3027262070806158,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.6687899265588954,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=modis; window=W2022_2024; target_year=2025,0.6687899265588954,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.001336,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022; target_year=2025,0.0013356244417826,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.000299,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022; target_year=2025,0.0002990082224308,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.000215,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022; target_year=2025,-0.0002150939735895,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.4012298254677032,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022; target_year=2025,0.4012298254677032,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8399322368496508,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022; target_year=2025,0.8399322368496508,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.001335,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2023; target_year=2025,0.0013354750127916,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.000297,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2023; target_year=2025,0.0002968420766248,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.000218,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2023; target_year=2025,-0.0002184730476986,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.4013637981850003,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2023; target_year=2025,0.4013637981850003,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8398846313982713,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2023; target_year=2025,0.8398846313982713,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.001409,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2024; target_year=2025,0.0014091877610971,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.000331,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2024; target_year=2025,0.0003313765039227,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.000197,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2024; target_year=2025,-0.0001974692435317,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.3334554699433572,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2024; target_year=2025,0.3334554699433572,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.82993450311845,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2024; target_year=2025,0.82993450311845,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.001336,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022_2023; target_year=2025,0.001335780547216,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.000298,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022_2023; target_year=2025,0.0002980362334368,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.000217,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022_2023; target_year=2025,-0.000216685036802,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.4010898508804336,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022_2023; target_year=2025,0.4010898508804336,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8399310431333413,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022_2023; target_year=2025,0.8399310431333413,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.001382,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2023_2024; target_year=2025,0.0013822239014969,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.000316,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2023_2024; target_year=2025,0.0003160442621861,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.000208,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2023_2024; target_year=2025,-0.0002079181406843,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.3587191951724442,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2023_2024; target_year=2025,0.3587191951724442,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8367532279597554,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2023_2024; target_year=2025,0.8367532279597554,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.001365,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022_2024; target_year=2025,0.0013650495350562,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.000310,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022_2024; target_year=2025,0.0003098211827688,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.000210,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022_2024; target_year=2025,-0.0002102339775963,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.374556236696824,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022_2024; target_year=2025,0.374556236696824,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8385305762230606,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-01; sensor=sentinel2; window=W2022_2024; target_year=2025,0.8385305762230606,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.057890,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022; target_year=2025,0.0578903638243602,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.044681,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022; target_year=2025,0.0446810797609554,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,0.009951,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022; target_year=2025,0.0099514964340654,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.8760985081772599,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022; target_year=2025,0.8760985081772599,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.9379718196852974,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2022; target_year=2025,0.9379718196852974,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.059905,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2023; target_year=2025,0.0599049307984293,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.046122,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2023; target_year=2025,0.0461222857533128,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,0.017668,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2023; target_year=2025,0.0176682460558081,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.867324993028732,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-02; sensor=landsat; window=W2023; target_year=2025,0.867324993028732,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
