path,extension,size_bytes,git_status,scientific_role,authoritative,manuscript_facing,sha256_or_status,legacy_candidate,temporary_generated,required_for_reproduction,safe_to_remove_candidate,contains_absolute_local_path,sensitive_information_scan
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250718T040549_20250718T041359_T47SNB/ndvi_fcover_support.tif,.tif,1969,tracked,deprecated or diagnostic scientific output,no,no,408fcae89b1c623da230eb8383bc84134f6b97a4e02360f725193e2188dee5a8,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250718T040549_20250718T041359_T47SNB/quality_masks_fcover_support.tif,.tif,4292,tracked,deprecated or diagnostic scientific output,no,no,d80cccd2a7ce0541b6d4ab33dcbb9c4b146f67b6a4e96f9c65b9a07b5b271312,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250718T040549_20250718T041359_T47SNB/red_nir_scaled_fcover_support.tif,.tif,2354,tracked,deprecated or diagnostic scientific output,no,no,875b47144000cb44d911f31765f95d25880535be20e3e8d3abbbbe7b82a8e4f4,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250728T040549_20250728T041545_T47SNB/ndvi_fcover_support.tif,.tif,4359,tracked,deprecated or diagnostic scientific output,no,no,bc66def682a38755fb564fec6f5e079ba9c5c469e9e136bfb66ae9e55806e1cc,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250728T040549_20250728T041545_T47SNB/quality_masks_fcover_support.tif,.tif,5586,tracked,deprecated or diagnostic scientific output,no,no,ca2a263e7af584dee81ba988cd6e448565a29d8537d640b8eed1bd7d59c06c6b,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250728T040549_20250728T041545_T47SNB/red_nir_scaled_fcover_support.tif,.tif,6200,tracked,deprecated or diagnostic scientific output,no,no,60cc6b24e952ff928f884d30daec6567d6121b6e18bc02ac3df4e455b316ac89,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250728T040549_20250728T041545_T47SNC/ndvi_fcover_support.tif,.tif,32927,tracked,deprecated or diagnostic scientific output,no,no,89f29fb4bceec9fc264851f0c15f6070aad675626672ba58cfb9bc3a4888ce32,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250728T040549_20250728T041545_T47SNC/quality_masks_fcover_support.tif,.tif,38602,tracked,deprecated or diagnostic scientific output,no,no,5d1b3fa572c0736c5390162bb8b22e5afb6740ba90b1175b00fd1dbb3c9f7e46,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250728T040549_20250728T041545_T47SNC/red_nir_scaled_fcover_support.tif,.tif,62288,tracked,deprecated or diagnostic scientific output,no,no,1db94efa8782a0b52a0b1169dacec4c1fff8294f8def1f8c1c2605e76ee8cc1e,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250802T040601_20250802T040900_T47SNB/ndvi_fcover_support.tif,.tif,1787,tracked,deprecated or diagnostic scientific output,no,no,8656072f4ec6515e7474e94f23e2a6be8e2e2d129d3aca718e6876301c59d1ff,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250802T040601_20250802T040900_T47SNB/quality_masks_fcover_support.tif,.tif,3632,tracked,deprecated or diagnostic scientific output,no,no,d3af0b254f073743e52988f5fee7ffc5eeb0c27732b40797820be23b3a269fbd,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250802T040601_20250802T040900_T47SNB/red_nir_scaled_fcover_support.tif,.tif,2056,tracked,deprecated or diagnostic scientific output,no,no,26272a5f9129f779a24f179638ccded23e230ad9810bf209f6699767c2e5cea3,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250802T040601_20250802T040900_T47SNC/ndvi_fcover_support.tif,.tif,12153,tracked,deprecated or diagnostic scientific output,no,no,74049566b0c9d4b123d07edfc0d87e46cfc119837cead44d9d1b83403605d884,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250802T040601_20250802T040900_T47SNC/quality_masks_fcover_support.tif,.tif,22476,tracked,deprecated or diagnostic scientific output,no,no,11bb36b2b4ec53045f7c4e05214e6f779975d41c5bf11b3dee5e976b653dbf7f,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250802T040601_20250802T040900_T47SNC/red_nir_scaled_fcover_support.tif,.tif,20234,tracked,deprecated or diagnostic scientific output,no,no,4062ffef80781af8326e957613baccf538c35a9f9d02f01f13a75c5929221abc,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250807T040549_20250807T041546_T47SNB/ndvi_fcover_support.tif,.tif,2909,tracked,deprecated or diagnostic scientific output,no,no,97224a616e3591d6cbc687cefaa132ed94f1344052bca5fc9d304475792bb9a6,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250807T040549_20250807T041546_T47SNB/quality_masks_fcover_support.tif,.tif,6022,tracked,deprecated or diagnostic scientific output,no,no,ac8f61456a2f3593f3780245c077b422bd9245031ad09e351341063a314c6ce2,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250807T040549_20250807T041546_T47SNB/red_nir_scaled_fcover_support.tif,.tif,3854,tracked,deprecated or diagnostic scientific output,no,no,9c44b495ad1515415b3af3d39cb949f7eff5abc05150edecf80c60b572ecf14d,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250812T040601_20250812T040641_T47SNB/ndvi_fcover_support.tif,.tif,4349,tracked,deprecated or diagnostic scientific output,no,no,c9af6475498b73a93031cd4c24f94ab8a2865c632c500a601057b776a848093c,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250812T040601_20250812T040641_T47SNB/quality_masks_fcover_support.tif,.tif,6782,tracked,deprecated or diagnostic scientific output,no,no,452643ccdd31e442891eb5d4aed36c7c0987350dde964049bf04888b2cd34eca,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250812T040601_20250812T040641_T47SNB/red_nir_scaled_fcover_support.tif,.tif,6248,tracked,deprecated or diagnostic scientific output,no,no,3b4f400294a84f3c145cae16f883c99204b438367078d8d15d33b1abb678f806,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250812T040601_20250812T040641_T47SNC/ndvi_fcover_support.tif,.tif,32977,tracked,deprecated or diagnostic scientific output,no,no,4b83ed4ac564b52ba8ddc271397ab32f6d4c8beeedc18ac9c0ea60226cbdfe4a,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250812T040601_20250812T040641_T47SNC/quality_masks_fcover_support.tif,.tif,49548,tracked,deprecated or diagnostic scientific output,no,no,fadbc2a3186ec8d0c1766545df8f1e012a99fdf9c8009216e60b639cc301dd79,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/07-31/observations/20250812T040601_20250812T040641_T47SNC/red_nir_scaled_fcover_support.tif,.tif,62126,tracked,deprecated or diagnostic scientific output,no,no,67496338a4593ae6071d170b2dd8da46f1b3df3993e918046ea3d3df1c00a0f9,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250728T040549_20250728T041545_T47SNB/ndvi_fcover_support.tif,.tif,4359,tracked,deprecated or diagnostic scientific output,no,no,bc66def682a38755fb564fec6f5e079ba9c5c469e9e136bfb66ae9e55806e1cc,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250728T040549_20250728T041545_T47SNB/quality_masks_fcover_support.tif,.tif,5586,tracked,deprecated or diagnostic scientific output,no,no,ca2a263e7af584dee81ba988cd6e448565a29d8537d640b8eed1bd7d59c06c6b,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250728T040549_20250728T041545_T47SNB/red_nir_scaled_fcover_support.tif,.tif,6200,tracked,deprecated or diagnostic scientific output,no,no,60cc6b24e952ff928f884d30daec6567d6121b6e18bc02ac3df4e455b316ac89,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250728T040549_20250728T041545_T47SNC/ndvi_fcover_support.tif,.tif,32927,tracked,deprecated or diagnostic scientific output,no,no,89f29fb4bceec9fc264851f0c15f6070aad675626672ba58cfb9bc3a4888ce32,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250728T040549_20250728T041545_T47SNC/quality_masks_fcover_support.tif,.tif,38602,tracked,deprecated or diagnostic scientific output,no,no,5d1b3fa572c0736c5390162bb8b22e5afb6740ba90b1175b00fd1dbb3c9f7e46,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250728T040549_20250728T041545_T47SNC/red_nir_scaled_fcover_support.tif,.tif,62288,tracked,deprecated or diagnostic scientific output,no,no,1db94efa8782a0b52a0b1169dacec4c1fff8294f8def1f8c1c2605e76ee8cc1e,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250802T040601_20250802T040900_T47SNB/ndvi_fcover_support.tif,.tif,1787,tracked,deprecated or diagnostic scientific output,no,no,8656072f4ec6515e7474e94f23e2a6be8e2e2d129d3aca718e6876301c59d1ff,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250802T040601_20250802T040900_T47SNB/quality_masks_fcover_support.tif,.tif,3632,tracked,deprecated or diagnostic scientific output,no,no,d3af0b254f073743e52988f5fee7ffc5eeb0c27732b40797820be23b3a269fbd,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250802T040601_20250802T040900_T47SNB/red_nir_scaled_fcover_support.tif,.tif,2056,tracked,deprecated or diagnostic scientific output,no,no,26272a5f9129f779a24f179638ccded23e230ad9810bf209f6699767c2e5cea3,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250802T040601_20250802T040900_T47SNC/ndvi_fcover_support.tif,.tif,12153,tracked,deprecated or diagnostic scientific output,no,no,74049566b0c9d4b123d07edfc0d87e46cfc119837cead44d9d1b83403605d884,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250802T040601_20250802T040900_T47SNC/quality_masks_fcover_support.tif,.tif,22476,tracked,deprecated or diagnostic scientific output,no,no,11bb36b2b4ec53045f7c4e05214e6f779975d41c5bf11b3dee5e976b653dbf7f,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250802T040601_20250802T040900_T47SNC/red_nir_scaled_fcover_support.tif,.tif,20234,tracked,deprecated or diagnostic scientific output,no,no,4062ffef80781af8326e957613baccf538c35a9f9d02f01f13a75c5929221abc,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250807T040549_20250807T041546_T47SNB/ndvi_fcover_support.tif,.tif,2909,tracked,deprecated or diagnostic scientific output,no,no,97224a616e3591d6cbc687cefaa132ed94f1344052bca5fc9d304475792bb9a6,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250807T040549_20250807T041546_T47SNB/quality_masks_fcover_support.tif,.tif,6022,tracked,deprecated or diagnostic scientific output,no,no,ac8f61456a2f3593f3780245c077b422bd9245031ad09e351341063a314c6ce2,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250807T040549_20250807T041546_T47SNB/red_nir_scaled_fcover_support.tif,.tif,3854,tracked,deprecated or diagnostic scientific output,no,no,9c44b495ad1515415b3af3d39cb949f7eff5abc05150edecf80c60b572ecf14d,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250812T040601_20250812T040641_T47SNB/ndvi_fcover_support.tif,.tif,4349,tracked,deprecated or diagnostic scientific output,no,no,c9af6475498b73a93031cd4c24f94ab8a2865c632c500a601057b776a848093c,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250812T040601_20250812T040641_T47SNB/quality_masks_fcover_support.tif,.tif,6782,tracked,deprecated or diagnostic scientific output,no,no,452643ccdd31e442891eb5d4aed36c7c0987350dde964049bf04888b2cd34eca,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250812T040601_20250812T040641_T47SNB/red_nir_scaled_fcover_support.tif,.tif,6248,tracked,deprecated or diagnostic scientific output,no,no,3b4f400294a84f3c145cae16f883c99204b438367078d8d15d33b1abb678f806,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250812T040601_20250812T040641_T47SNC/ndvi_fcover_support.tif,.tif,32977,tracked,deprecated or diagnostic scientific output,no,no,4b83ed4ac564b52ba8ddc271397ab32f6d4c8beeedc18ac9c0ea60226cbdfe4a,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250812T040601_20250812T040641_T47SNC/quality_masks_fcover_support.tif,.tif,49548,tracked,deprecated or diagnostic scientific output,no,no,fadbc2a3186ec8d0c1766545df8f1e012a99fdf9c8009216e60b639cc301dd79,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250812T040601_20250812T040641_T47SNC/red_nir_scaled_fcover_support.tif,.tif,62126,tracked,deprecated or diagnostic scientific output,no,no,67496338a4593ae6071d170b2dd8da46f1b3df3993e918046ea3d3df1c00a0f9,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250817T040549_20250817T041519_T47SNC/ndvi_fcover_support.tif,.tif,1787,tracked,deprecated or diagnostic scientific output,no,no,8656072f4ec6515e7474e94f23e2a6be8e2e2d129d3aca718e6876301c59d1ff,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250817T040549_20250817T041519_T47SNC/quality_masks_fcover_support.tif,.tif,2670,tracked,deprecated or diagnostic scientific output,no,no,724f520facdb836a02ce3b05440eadd32a64167f318c3d37495e4f15dd01fbec,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250817T040549_20250817T041519_T47SNC/red_nir_scaled_fcover_support.tif,.tif,2056,tracked,deprecated or diagnostic scientific output,no,no,26272a5f9129f779a24f179638ccded23e230ad9810bf209f6699767c2e5cea3,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250822T040601_20250822T040859_T47SNB/ndvi_fcover_support.tif,.tif,4195,tracked,deprecated or diagnostic scientific output,no,no,ea00e2f2851a30ad09950f8aa728b067f18d153fc60213ddacb9c6047b1bfc94,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250822T040601_20250822T040859_T47SNB/quality_masks_fcover_support.tif,.tif,7314,tracked,deprecated or diagnostic scientific output,no,no,228a9cd174a4b31219b090b15faa697acc292585e92dc7c4cf9b151936fc89f4,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250822T040601_20250822T040859_T47SNB/red_nir_scaled_fcover_support.tif,.tif,5954,tracked,deprecated or diagnostic scientific output,no,no,25f8fc2c44be0ebbb9d90b1b6f189761abaec7384808ea46d6186ca971f350d1,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250822T040601_20250822T040859_T47SNC/ndvi_fcover_support.tif,.tif,28935,tracked,deprecated or diagnostic scientific output,no,no,a8780a137d99aac24334a36c4301f60ce41b36345fc5eccbf4321f43dfd85432,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250822T040601_20250822T040859_T47SNC/quality_masks_fcover_support.tif,.tif,54278,tracked,deprecated or diagnostic scientific output,no,no,656ccafe7a4c6ff83ddadeaef3446411d245dfcf297495f0faa0bfc10b1ade97,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250822T040601_20250822T040859_T47SNC/red_nir_scaled_fcover_support.tif,.tif,53312,tracked,deprecated or diagnostic scientific output,no,no,0d1859e107f5a88dd6787f6cc6239019340ed5b375f8297236ed7311720662ca,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250824T041211_20250824T041213_T47SNB/ndvi_fcover_support.tif,.tif,4279,tracked,deprecated or diagnostic scientific output,no,no,f3c6bcfcd630de1d7eed350e4c40c015c3c438fdc3f40191af8d3c7f1d1ed066,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250824T041211_20250824T041213_T47SNB/quality_masks_fcover_support.tif,.tif,7334,tracked,deprecated or diagnostic scientific output,no,no,ee568dddf7d09146332884e8efc2adeae1d4d0882160d8b23cd326aef248033f,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250824T041211_20250824T041213_T47SNB/red_nir_scaled_fcover_support.tif,.tif,6080,tracked,deprecated or diagnostic scientific output,no,no,789266b8ff6d25fe6719b0f11ee4c4030ff4f4a91db1df5ee043f6a2dd6aa3fc,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250824T041211_20250824T041213_T47SNC/ndvi_fcover_support.tif,.tif,33171,tracked,deprecated or diagnostic scientific output,no,no,8ac6ba76f974a36a33257cf09308f2c8c4090dec0ac7c7f1a93404a59e2c3392,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250824T041211_20250824T041213_T47SNC/quality_masks_fcover_support.tif,.tif,23214,tracked,deprecated or diagnostic scientific output,no,no,a599bbb8e314af51683ac2b1371e0e00a75c1f18b281e50839bf9928013e3645,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/preprocessed/sentinel2/2025/08-10/observations/20250824T041211_20250824T041213_T47SNC/red_nir_scaled_fcover_support.tif,.tif,63670,tracked,deprecated or diagnostic scientific output,no,no,92902cbf3a0306f27a2cfa62f8f8fc891d600e6f694daf95cabe0579d89d5b08,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2022/2022_07_12/QA.tif,.tif,1860,tracked,deprecated or diagnostic scientific output,no,no,3eece380692ede319ba721c67eea3d8344f10bd35bb27d562fdb74624c0982be,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2022/2022_07_20/QA.tif,.tif,1696,tracked,deprecated or diagnostic scientific output,no,no,126869334952ef24027240ae078ffab5a0219a3c481309c0edac784e67bcc44d,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2022/2022_07_28/QA.tif,.tif,1716,tracked,deprecated or diagnostic scientific output,no,no,e1989b5cad76b79a9f17e19bafbd8e047b938ddf11bac1d82d8b232a38337e9e,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2022/2022_08_05/QA.tif,.tif,1710,tracked,deprecated or diagnostic scientific output,no,no,49f01e5d19194a0474ade21ef27e9b9ad9a006a0b81be0f089ef9d3aaf7971b7,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2022/2022_08_13/QA.tif,.tif,1696,tracked,deprecated or diagnostic scientific output,no,no,126869334952ef24027240ae078ffab5a0219a3c481309c0edac784e67bcc44d,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2022/2022_08_21/QA.tif,.tif,1820,tracked,deprecated or diagnostic scientific output,no,no,a64a0731c844a2bb18ced819c31412def01aff87925b15655b0e7fcfd1a450da,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2023/2023_07_12/QA.tif,.tif,1716,tracked,deprecated or diagnostic scientific output,no,no,832a25b012db88e75ce32c437084d88aac6e4c064501330e86a53a5768e33c6d,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2023/2023_07_20/QA.tif,.tif,1696,tracked,deprecated or diagnostic scientific output,no,no,126869334952ef24027240ae078ffab5a0219a3c481309c0edac784e67bcc44d,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2023/2023_07_28/QA.tif,.tif,1716,tracked,deprecated or diagnostic scientific output,no,no,5d7118d95258ba1200b252102b4dac67271f2445ca2723c5538c5d39770f7730,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2023/2023_08_05/QA.tif,.tif,1720,tracked,deprecated or diagnostic scientific output,no,no,c45c80c5bea83df805bdcf2a5a01b46a523e08f455327b30c3fb282f554e9bcd,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2023/2023_08_13/QA.tif,.tif,1714,tracked,deprecated or diagnostic scientific output,no,no,d83d6f446acb728cddbe2d4e2311fd970d2ce46eae73634598d960d8bf228a49,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2023/2023_08_21/QA.tif,.tif,1718,tracked,deprecated or diagnostic scientific output,no,no,b421bf7c18bd43a6ab9b97e21f2bb077fc8275d0c32578c9ce5f7f122967ceb1,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2024/2024_07_11/QA.tif,.tif,1714,tracked,deprecated or diagnostic scientific output,no,no,991fbed2379e836275930b4352287f386b363aa4788feff8c8d7507c139f8126,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2024/2024_07_19/QA.tif,.tif,1696,tracked,deprecated or diagnostic scientific output,no,no,126869334952ef24027240ae078ffab5a0219a3c481309c0edac784e67bcc44d,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2024/2024_07_27/QA.tif,.tif,1762,tracked,deprecated or diagnostic scientific output,no,no,390199f7a2e2cd96cae4e39ad65adaabb90c56b7b9d4955a2491099a9c96639f,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2024/2024_08_04/QA.tif,.tif,1724,tracked,deprecated or diagnostic scientific output,no,no,fb08dde9b8f3d4e96ac0c42c2c37e69eeb3dcc4533985a6666fe9fd25eccfa26,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2024/2024_08_12/QA.tif,.tif,1722,tracked,deprecated or diagnostic scientific output,no,no,2b3f508ff475f0e68c04736e4bf1f138a42399b24f26b84c7cfb4a2a5ddbdaaf,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2024/2024_08_20/QA.tif,.tif,1696,tracked,deprecated or diagnostic scientific output,no,no,126869334952ef24027240ae078ffab5a0219a3c481309c0edac784e67bcc44d,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2025/2025_07_12/QA.tif,.tif,1714,tracked,deprecated or diagnostic scientific output,no,no,f11818b6591a841658459d994981b1b5066f9cfba3285e63d72c092f0837161c,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2025/2025_07_20/QA.tif,.tif,1882,tracked,deprecated or diagnostic scientific output,no,no,7234a5c8c3221768476e07c7254fda2aa72fa6b35237522a5a153776a2785db2,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2025/2025_07_28/QA.tif,.tif,1768,tracked,deprecated or diagnostic scientific output,no,no,52aa8b525d14741bcc94e9f73d47ab9aeffb2f8a63b6ffb05e4aab62e3cb41c8,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2025/2025_08_05/QA.tif,.tif,1702,tracked,deprecated or diagnostic scientific output,no,no,6133a40da9382db46b71f6a3071fcfd7646628e570adc5efdf5169fa25b3e24f,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2025/2025_08_13/QA.tif,.tif,1696,tracked,deprecated or diagnostic scientific output,no,no,126869334952ef24027240ae078ffab5a0219a3c481309c0edac784e67bcc44d,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/raw_assets/modis/2025/2025_08_21/QA.tif,.tif,1720,tracked,deprecated or diagnostic scientific output,no,no,1497ba7f0776e6575002ca1a08859b969e7cb1db335879eb7d281152e4ae389c,yes,no,no,yes,no,not scanned (binary/large)
Data/Legacy_AOI00/data_final/reports/e2e_validation_report.md,.md,437,tracked,deprecated or diagnostic scientific output,no,no,ddd317eeddaf2eaf5d4dcc45078c86ba6e3730d821264bf291dfbdb9e7439f87,yes,no,no,yes,no,no
Data/Legacy_AOI00/data_final/reports/experiment_index.csv,.csv,2726,tracked,deprecated or diagnostic scientific output,no,no,361e0658f3b01d360ae8b94d387b2f150e41435f878005e946a6f4aada9795c3,yes,no,no,yes,no,no
Data/Legacy_AOI00/data_final/reports/final_21_experiment_metrics.csv,.csv,7433,tracked,deprecated or diagnostic scientific output,no,no,7fe6fad0cc4eebc88a2287e24d0464e8c99cd124e377e209346f89729e7596e2,yes,no,no,yes,no,no
